,Instanz,Makespan
1206,1206,1575
1207,1207,1382
1208,1208,1450
1209,1209,1538
1210,1210,1321
1211,1211,1340
1212,1212,1412
1213,1213,1358
1214,1214,1512
1215,1215,1398
1216,1216,1302
1217,1217,1460
1218,1218,1213
1219,1219,1397
1220,1220,1351
1221,1221,1498
1222,1222,1543
1223,1223,1289
1224,1224,1327
1225,1225,1529
1226,1226,1381
1227,1227,1352
1228,1228,1334
1229,1229,1309
1230,1230,1319
1231,1231,1540
1232,1232,1413
1233,1233,1345
1234,1234,1405
1235,1235,1460
1236,1236,1501
1237,1237,1393
1238,1238,1519
1239,1239,1575
1240,1240,1468
1241,1241,1401
1242,1242,1254
1243,1243,1484
1244,1244,1351
1245,1245,1321
1246,1246,1375
1247,1247,1468
1248,1248,1391
1249,1249,1460
1250,1250,1433
1251,1251,1418
1252,1252,1392
1253,1253,1434
1254,1254,1425
1255,1255,1352
1256,1256,1441
1257,1257,1398
1258,1258,1522
1259,1259,1346
1260,1260,1525
1261,1261,1526
1262,1262,1460
1263,1263,1444
1264,1264,1353
1265,1265,1276
1266,1266,1320
1267,1267,1489
1268,1268,1398
1269,1269,1417
1270,1270,1398
1271,1271,1593
1272,1272,1366
1273,1273,1446
1274,1274,1320
1275,1275,1339
1276,1276,1450
1277,1277,1534
1278,1278,1347
1279,1279,1295
1280,1280,1499
1281,1281,1622
1282,1282,1364
1283,1283,1364
1284,1284,1317
1285,1285,1385
1286,1286,1474
1287,1287,1271
1288,1288,1328
1289,1289,1464
1290,1290,1470
1291,1291,1377
1292,1292,1423
1293,1293,1403
1294,1294,1407
1295,1295,1624
1296,1296,1407
1297,1297,1398
1298,1298,1358
1299,1299,1388
1300,1300,1784
1301,1301,1569
1302,1302,1700
1303,1303,1764
1304,1304,1772
1305,1305,1791
1306,1306,1709
1307,1307,1699
1308,1308,1704
1309,1309,1847
1310,1310,1715
1311,1311,1758
1312,1312,1522
1313,1313,1765
1314,1314,1664
1315,1315,1704
1316,1316,1592
1317,1317,1695
1318,1318,1647
1319,1319,1601
1320,1320,1585
1321,1321,1629
1322,1322,1711
1323,1323,1597
1324,1324,1641
1325,1325,1662
1326,1326,1815
1327,1327,1706
1328,1328,1878
1329,1329,1830
1330,1330,1749
1331,1331,1532
1332,1332,1629
1333,1333,1593
1334,1334,1688
1335,1335,1647
1336,1336,1643
1337,1337,1764
1338,1338,1697
1339,1339,1492
1340,1340,1514
1341,1341,1595
1342,1342,1695
1343,1343,1722
1344,1344,1590
1345,1345,1780
1346,1346,1799
1347,1347,1734
1348,1348,1706
1349,1349,1819
1350,1350,1652
1351,1351,1705
1352,1352,1602
1353,1353,1504
1354,1354,1586
1355,1355,1629
1356,1356,1453
1357,1357,1763
1358,1358,1836
1359,1359,1537
1360,1360,1634
1361,1361,1816
1362,1362,1710
1363,1363,1557
1364,1364,1714
1365,1365,1892
1366,1366,1526
1367,1367,1639
1368,1368,1618
1369,1369,1968
1370,1370,1572
1371,1371,1578
1372,1372,1623
1373,1373,1763
1374,1374,1632
1375,1375,1617
1376,1376,1658
1377,1377,1656
1378,1378,1949
1379,1379,1542
1380,1380,1480
1381,1381,1658
1382,1382,1741
1383,1383,1700
1384,1384,1531
1385,1385,1669
1386,1386,1674
1387,1387,1494
1388,1388,1659
1389,1389,1765
1390,1390,1690
1391,1391,1654
1392,1392,1651
1393,1393,1617
1394,1394,1636
1395,1395,1870
1396,1396,1707
1397,1397,1704
1398,1398,1693
1399,1399,1630
1400,1400,2117
1401,1401,2280
1402,1402,2146
1403,1403,2130
1404,1404,2188
1405,1405,2156
1406,1406,2337
1407,1407,2084
1408,1408,2126
1409,1409,2373
1410,1410,2306
1411,1411,2314
1412,1412,2107
1413,1413,2198
1414,1414,2387
1415,1415,2130
1416,1416,2001
1417,1417,2271
1418,1418,2124
1419,1419,2172
1420,1420,2150
1421,1421,2211
1422,1422,2186
1423,1423,2282
1424,1424,2273
1425,1425,2188
1426,1426,2133
1427,1427,2160
1428,1428,2187
1429,1429,2068
1430,1430,2174
1431,1431,2198
1432,1432,2171
1433,1433,2064
1434,1434,2441
1435,1435,2127
1436,1436,2221
1437,1437,2212
1438,1438,2261
1439,1439,2086
1440,1440,2050
1441,1441,2233
1442,1442,2370
1443,1443,2136
1444,1444,2137
1445,1445,2141
1446,1446,2383
1447,1447,2093
1448,1448,2172
1449,1449,2085
1450,1450,2066
1451,1451,2083
1452,1452,2036
1453,1453,2171
1454,1454,1961
1455,1455,2097
1456,1456,2123
1457,1457,2048
1458,1458,2187
1459,1459,2245
1460,1460,2187
1461,1461,2235
1462,1462,2250
1463,1463,2089
1464,1464,2082
1465,1465,2039
1466,1466,2315
1467,1467,2046
1468,1468,2288
1469,1469,2131
1470,1470,2125
1471,1471,2454
1472,1472,2276
1473,1473,2146
1474,1474,2245
1475,1475,2047
1476,1476,2132
1477,1477,2268
1478,1478,2365
1479,1479,2260
1480,1480,2092
1481,1481,2239
1482,1482,1976
1483,1483,2079
1484,1484,2209
1485,1485,2247
1486,1486,2176
1487,1487,2254
1488,1488,2254
1489,1489,2108
1490,1490,2066
1491,1491,2104
1492,1492,2262
1493,1493,2332
1494,1494,2115
1495,1495,2187
1496,1496,2254
1497,1497,2092
1498,1498,2220
1499,1499,2333
1500,1500,2658
1501,1501,2851
1502,1502,2662
1503,1503,2708
1504,1504,2623
1505,1505,2748
1506,1506,2865
1507,1507,2601
1508,1508,2914
1509,1509,2588
1510,1510,2833
1511,1511,2773
1512,1512,2752
1513,1513,2775
1514,1514,2763
1515,1515,2874
1516,1516,2628
1517,1517,2738
1518,1518,2761
1519,1519,2881
1520,1520,2830
1521,1521,2573
1522,1522,2894
1523,1523,2723
1524,1524,2521
1525,1525,2645
1526,1526,2844
1527,1527,2603
1528,1528,2686
1529,1529,2652
1530,1530,2636
1531,1531,2675
1532,1532,2754
1533,1533,2717
1534,1534,2707
1535,1535,2814
1536,1536,2671
1537,1537,2543
1538,1538,2849
1539,1539,2733
1540,1540,2701
1541,1541,2596
1542,1542,2646
1543,1543,2573
1544,1544,2623
1545,1545,2619
1546,1546,2875
1547,1547,2675
1548,1548,2763
1549,1549,2722
1550,1550,3145
1551,1551,2569
1552,1552,2811
1553,1553,2600
1554,1554,2646
1555,1555,2883
1556,1556,2593
1557,1557,2735
1558,1558,2601
1559,1559,2825
1560,1560,2998
1561,1561,2822
1562,1562,2849
1563,1563,2722
1564,1564,2659
1565,1565,2524
1566,1566,2775
1567,1567,2525
1568,1568,2830
1569,1569,2861
1570,1570,2686
1571,1571,2773
1572,1572,2662
1573,1573,2603
1574,1574,2625
1575,1575,2646
1576,1576,2775
1577,1577,2551
1578,1578,2601
1579,1579,2740
1580,1580,2790
1581,1581,2986
1582,1582,2802
1583,1583,2823
1584,1584,2711
1585,1585,2681
1586,1586,2723
1587,1587,2758
1588,1588,2714
1589,1589,2618
1590,1590,2859
1591,1591,2770
1592,1592,2872
1593,1593,2698
1594,1594,2655
1595,1595,2604
1596,1596,2961
1597,1597,2781
1598,1598,2729
1599,1599,2852
1600,1600,3362
1601,1601,3221
1602,1602,3310
1603,1603,3198
1604,1604,3270
1605,1605,3139
1606,1606,3194
1607,1607,3189
1608,1608,3286
1609,1609,3237
1610,1610,3232
1611,1611,3181
1612,1612,3186
1613,1613,3175
1614,1614,3159
1615,1615,3567
1616,1616,3407
