,Instanz,Makespan
963,963,3264
964,964,3047
965,965,3258
966,966,3274
967,967,3294
968,968,3213
969,969,3220
970,970,3236
971,971,3298
972,972,3154
973,973,3311
974,974,3286
975,975,3256
976,976,3148
977,977,3334
978,978,3131
979,979,3252
980,980,3220
981,981,3132
982,982,3343
983,983,3239
984,984,3294
985,985,3473
986,986,3684
987,987,3295
988,988,3419
989,989,3187
990,990,3208
991,991,3101
992,992,3490
993,993,3295
994,994,3160
995,995,3292
996,996,3229
997,997,3262
998,998,3322
999,999,3135
1000,1000,3113
1001,1001,3272
1002,1002,3181
1003,1003,3214
1004,1004,3108
1005,1005,3218
1006,1006,3445
1007,1007,3403
1008,1008,3384
1009,1009,3058
1010,1010,3164
1011,1011,3283
1012,1012,3648
1013,1013,3366
1014,1014,3239
1015,1015,3060
1016,1016,3269
1017,1017,3298
1018,1018,3499
1019,1019,3174
1020,1020,3112
1021,1021,3133
1022,1022,3126
1023,1023,3220
1024,1024,3329
1025,1025,3306
1026,1026,3461
1027,1027,3338
1028,1028,3235
1029,1029,3237
1030,1030,3264
1031,1031,3160
1032,1032,3474
1033,1033,3164
1034,1034,3331
1035,1035,3257
1036,1036,3289
1037,1037,3145
1038,1038,3153
1039,1039,3098
1040,1040,3249
1041,1041,3182
1042,1042,3120
1043,1043,3219
1044,1044,3297
1045,1045,3101
1046,1046,3054
1047,1047,3458
1048,1048,3296
1049,1049,3347
1050,1050,3209
1051,1051,3034
1052,1052,3471
1053,1053,3183
1054,1054,3333
1055,1055,3152
1056,1056,3085
1057,1057,3204
1058,1058,3332
1059,1059,3351
1060,1060,3162
1061,1061,3362
1062,1062,3067
1063,1063,3279
1064,1064,3141
1065,1065,3464
1066,1066,3283
1067,1067,3334
1068,1068,3353
1069,1069,3091
1070,1070,3333
1071,1071,3135
1072,1072,3496
1073,1073,3221
1074,1074,3179
1075,1075,3392
1076,1076,3137
1077,1077,3098
1078,1078,3267
1079,1079,3369
1080,1080,3277
1081,1081,3198
1082,1082,3422
1083,1083,3393
1084,1084,3241
1085,1085,3355
1086,1086,3402
1087,1087,3216
1088,1088,3386
1089,1089,3237
1090,1090,3402
1091,1091,3433
1092,1092,3282
1093,1093,3635
1094,1094,3159
1095,1095,3389
1096,1096,3313
1097,1097,3148
1098,1098,3364
1099,1099,3292
1100,1100,3273
1101,1101,3248
1102,1102,3111
1103,1103,3183
1104,1104,3305
1105,1105,3088
1106,1106,3285
1107,1107,3191
1108,1108,3281
1109,1109,3401
1110,1110,3348
1111,1111,3098
1112,1112,3183
1113,1113,3215
1114,1114,3177
1115,1115,3229
1116,1116,3286
1117,1117,3241
1118,1118,3178
1119,1119,3214
1120,1120,3221
1121,1121,3193
1122,1122,3393
1123,1123,3258
1124,1124,3326
1125,1125,3381
1126,1126,3181
1127,1127,3159
1128,1128,3242
1129,1129,3391
1130,1130,3202
1131,1131,3464
1132,1132,3294
1133,1133,3039
1134,1134,3129
1135,1135,3233
1136,1136,3043
1137,1137,3318
1138,1138,3159
1139,1139,3201
1140,1140,3101
1141,1141,3216
1142,1142,3246
1143,1143,3196
1144,1144,3022
1145,1145,3183
1146,1146,3183
1147,1147,3224
1148,1148,3186
1149,1149,3407
1150,1150,3168
1151,1151,3174
1152,1152,3109
1153,1153,3082
1154,1154,3403
1155,1155,3149
1156,1156,3242
1157,1157,3042
1158,1158,3137
1159,1159,3191
1160,1160,3308
1161,1161,3283
1162,1162,3192
1163,1163,3263
1164,1164,3010
1165,1165,3328
1166,1166,3104
1167,1167,3297
1168,1168,3443
1169,1169,3105
1170,1170,3174
1171,1171,3338
1172,1172,3071
1173,1173,3314
1174,1174,3209
1175,1175,3323
1176,1176,3113
1177,1177,3322
1178,1178,3191
1179,1179,3175
1180,1180,3262
1181,1181,3267
1182,1182,3315
1183,1183,3307
1184,1184,3211
1185,1185,3297
1186,1186,3402
1187,1187,3228
1188,1188,3225
1189,1189,3235
1190,1190,3056
1191,1191,3203
1192,1192,3288
1193,1193,3252
1194,1194,3247
1195,1195,3125
1196,1196,3251
1197,1197,3563
1198,1198,3146
1199,1199,3209
1200,1200,6032
1201,1201,5792
1202,1202,5989
1203,1203,5851
1204,1204,5743
1205,1205,6077
1206,1206,5913
1207,1207,5635
1208,1208,6085
1209,1209,5980
1210,1210,5794
1211,1211,6085
1212,1212,5833
1213,1213,5959
1214,1214,5705
1215,1215,5617
1216,1216,6085
1217,1217,5885
1218,1218,6056
1219,1219,5912
1220,1220,5903
1221,1221,5884
1222,1222,6201
1223,1223,5801
1224,1224,5833
1225,1225,5957
1226,1226,6336
1227,1227,5726
1228,1228,5842
1229,1229,5795
1230,1230,5929
1231,1231,6829
1232,1232,6075
1233,1233,6166
1234,1234,5701
1235,1235,5956
1236,1236,5981
1237,1237,6060
1238,1238,5912
1239,1239,6017
1240,1240,5767
1241,1241,5759
1242,1242,5968
1243,1243,5677
1244,1244,5734
1245,1245,5965
1246,1246,5790
1247,1247,5769
1248,1248,6157
1249,1249,6508
1250,1250,5749
1251,1251,5993
1252,1252,5900
1253,1253,5654
1254,1254,5634
1255,1255,5823
1256,1256,5816
1257,1257,5953
1258,1258,5752
1259,1259,6080
1260,1260,6079
1261,1261,5970
1262,1262,6111
1263,1263,6041
1264,1264,5912
1265,1265,5640
1266,1266,5590
1267,1267,5619
1268,1268,5899
1269,1269,5848
1270,1270,6080
1271,1271,6056
1272,1272,6022
1273,1273,5874
1274,1274,6118
1275,1275,6113
1276,1276,5931
1277,1277,5672
1278,1278,5706
1279,1279,6137
1280,1280,6056
1281,1281,6019
1282,1282,5914
1283,1283,6046
1284,1284,6388
1285,1285,5669
1286,1286,5733
1287,1287,5809
1288,1288,6056
1289,1289,5902
1290,1290,6052
1291,1291,5965
1292,1292,5801
1293,1293,5650
1294,1294,5875
1295,1295,6088
1296,1296,6041
1297,1297,5719
1298,1298,5569
1299,1299,5894
1300,1300,6040
1301,1301,6244
1302,1302,6178
1303,1303,6098
1304,1304,5888
1305,1305,5830
1306,1306,5694
1307,1307,6018
1308,1308,6256
1309,1309,6278
1310,1310,6069
1311,1311,5866
1312,1312,5990
1313,1313,5877
1314,1314,5742
1315,1315,5894
1316,1316,6010
1317,1317,5923
1318,1318,6080
1319,1319,5984
1320,1320,5860
1321,1321,5857
1322,1322,6035
1323,1323,5923
1324,1324,6024
1325,1325,5912
1326,1326,5842
1327,1327,5623
1328,1328,5997
1329,1329,6100
1330,1330,5881
1331,1331,5866
1332,1332,5660
1333,1333,5937
1334,1334,5968
1335,1335,5892
1336,1336,5614
1337,1337,5583
1338,1338,6120
1339,1339,6012
1340,1340,5734
1341,1341,5757
1342,1342,5957
1343,1343,6134
1344,1344,5899
1345,1345,5827
1346,1346,5795
1347,1347,5937
1348,1348,6228
1349,1349,5983
1350,1350,6064
1351,1351,5832
1352,1352,5889
1353,1353,5904
1354,1354,6036
1355,1355,6041
1356,1356,5987
1357,1357,5762
1358,1358,5904
1359,1359,6025
1360,1360,5838
1361,1361,5977
1362,1362,5723
1363,1363,6113
1364,1364,5946
1365,1365,5942
1366,1366,6057
1367,1367,5906
1368,1368,5772
1369,1369,6199
1370,1370,5800
1371,1371,6182
1372,1372,5667
1373,1373,6021
1374,1374,6104
1375,1375,6222
1376,1376,6102
1377,1377,6091
1378,1378,6071
1379,1379,5731
1380,1380,5824
1381,1381,5786
1382,1382,6088
1383,1383,5826
1384,1384,5876
1385,1385,5785
1386,1386,6121
1387,1387,5666
1388,1388,5676
1389,1389,5922
1390,1390,6109
1391,1391,5938
1392,1392,5623
1393,1393,5778
1394,1394,6065
1395,1395,6132
1396,1396,5968
1397,1397,5994
1398,1398,5755
1399,1399,5673
1400,1400,6180
1401,1401,5768
1402,1402,6107
1403,1403,5716
1404,1404,5859
1405,1405,5874
1406,1406,5939
1407,1407,5739
1408,1408,5648
1409,1409,6042
1410,1410,5886
1411,1411,6114
1412,1412,5933
1413,1413,5815
1414,1414,6223
1415,1415,5881
1416,1416,5911
1417,1417,5968
1418,1418,6048
1419,1419,5856
1420,1420,5801
1421,1421,5796
1422,1422,5812
1423,1423,5979
1424,1424,5845
1425,1425,5805
1426,1426,6231
1427,1427,6117
1428,1428,5894
1429,1429,6086
1430,1430,5879
1431,1431,6064
1432,1432,5814
1433,1433,5686
1434,1434,5800
1435,1435,6311
1436,1436,5798
1437,1437,6107
1438,1438,6133
1439,1439,5896
1440,1440,6147
1441,1441,5784
1442,1442,5971
1443,1443,6231
1444,1444,5916
1445,1445,5711
1446,1446,5968
1447,1447,5841
1448,1448,6027
1449,1449,5475
1450,1450,5879
1451,1451,5874
1452,1452,5840
1453,1453,5551
1454,1454,5901
1455,1455,5733
1456,1456,5953
1457,1457,5795
1458,1458,5851
1459,1459,5675
1460,1460,6067
1461,1461,6000
1462,1462,6237
1463,1463,5793
1464,1464,6149
1465,1465,5858
1466,1466,5891
1467,1467,6005
1468,1468,5848
1469,1469,6183
1470,1470,5991
1471,1471,5843
1472,1472,6113
1473,1473,5986
1474,1474,6113
1475,1475,6305
1476,1476,5647
1477,1477,5825
1478,1478,5852
1479,1479,5971
1480,1480,6001
1481,1481,5916
1482,1482,6059
1483,1483,5668
1484,1484,5896
1485,1485,6368
1486,1486,5676
1487,1487,6411
1488,1488,5792
1489,1489,5794
1490,1490,5835
1491,1491,6644
1492,1492,6008
1493,1493,5820
1494,1494,5854
1495,1495,6012
1496,1496,5645
1497,1497,6248
1498,1498,5507
1499,1499,5777
1500,1500,1603
1501,1501,1707
1502,1502,1611
1503,1503,1593
1504,1504,1616
1505,1505,1735
1506,1506,1663
1507,1507,1727
1508,1508,1664
1509,1509,1697
1510,1510,1893
1511,1511,1664
1512,1512,1597
1513,1513,1574
1514,1514,1792
1515,1515,1785
1516,1516,1887
1517,1517,1780
1518,1518,1576
1519,1519,1733
1520,1520,1548
1521,1521,1763
1522,1522,1717
1523,1523,1782
1524,1524,1684
1525,1525,1709
1526,1526,1670
1527,1527,1730
1528,1528,1687
1529,1529,1699
1530,1530,1637
1531,1531,1682
1532,1532,1613
1533,1533,1641
1534,1534,1740
1535,1535,1772
1536,1536,1800
1537,1537,1732
1538,1538,1773
1539,1539,1704
1540,1540,1697
1541,1541,1678
1542,1542,1675
1543,1543,1756
1544,1544,1683
1545,1545,1745
1546,1546,1662
1547,1547,1726
1548,1548,1658
1549,1549,1670
1550,1550,1658
1551,1551,1730
1552,1552,1706
1553,1553,1720
1554,1554,1820
1555,1555,1617
1556,1556,1666
1557,1557,1705
1558,1558,1691
1559,1559,1819
1560,1560,1493
1561,1561,1764
1562,1562,1603
1563,1563,1591
1564,1564,1693
1565,1565,1668
1566,1566,1702
1567,1567,1615
1568,1568,1858
1569,1569,1902
1570,1570,1685
1571,1571,1731
1572,1572,1630
1573,1573,1698
1574,1574,1691
1575,1575,1700
1576,1576,1617
1577,1577,1747
1578,1578,1622
1579,1579,1804
1580,1580,1722
1581,1581,1780
1582,1582,1635
1583,1583,1787
1584,1584,1543
1585,1585,1607
1586,1586,1834
1587,1587,1598
1588,1588,1739
1589,1589,1733
1590,1590,1660
1591,1591,1785
1592,1592,1728
1593,1593,1602
